湖興里,8909
湖元里,5800
安湖里,8449
秀湖里,6468
安泰里,5838
金湖里,10498
康寧里,9614
明湖里,5854
蘆洲里,1351
麗山里,6309
寶湖里,8646
南湖里,6071
士林區,290688
仁勇里,4313
義信里,3420
福林里,3232
福德里,6076
福志里,7972
舊佳里,6388
福佳里,8332
後港里,8603
福中里,7510
前港里,4859
百齡里,7720
承德里,5985
福華里,6834
明勝里,5200
福順里,5622
富光里,6277
葫蘆里,8173
葫東里,4309
社子里,6793
社新里,9491
社園里,7847
永倫里,7717
福安里,4979
富洲里,5900
岩山里,3658
名山里,7542
德行里,4624
德華里,5913
聖山里,5368
忠誠里,5977
芝山里,7970
東山里,5521
三玉里,6199
蘭雅里,9148
蘭興里,6874
天福里,6661
天祿里,5593
天壽里,5378
天和里,8115
天山里,7408
天玉里,9430
天母里,7144
永福里,1351
公館里,1469
新安里,2094
陽明里,3124
菁山里,1709
平等里,1546
溪山里,1506
翠山里,2752
臨溪里,3062
北投區,257783
建民里,4478
文林里,4441
石牌里,5738
福興里,7610
榮光里,8150
榮華里,7952
裕民里,8030
振華里,8138
永和里,9658
永欣里,8197
永明里,5275
東華里,4730
吉利里,7598
吉慶里,5796
尊賢里,5161
立賢里,5983
立農里,9719
八仙里,5730
洲美里,2267
奇岩里,9945
清江里,9823
中央里,9246
長安里,6444
大同里,6301
溫泉里,7037
林泉里,3580
中心里,6668
中庸里,4600
開明里,6794
中和里,5266
智仁里,6643
秀山里,3493
文化里,4596
豐年里,4914
稻香里,5297
桃源里,6328
一德里,7646
關渡里,11914
泉源里,2454
湖山里,1830
大屯里,1254
湖田里,1059
